description,amount,category
architect intuitive relationships,45.20,Dining Out
Bean-Ward,85.35,Entertainment
aggregate cutting-edge users,93.91,Entertainment
Evans-Schroeder,89.51,Transport
incubate best-of-breed info-mediaries,54.43,Entertainment
Oconnor-Hughes,20.62,Transport
benchmark distributed e-business,37.45,Transport
"Serrano, Ortiz and Gates",85.96,Groceries
grow web-enabled e-services,33.53,Transport
Garcia Ltd,98.30,Utilities
deploy seamless portals,21.69,Groceries
Lee-Lawson,55.11,Transport
iterate turn-key vortals,74.73,Healthcare
Mcguire and Sons,74.61,Transport
strategize B2B synergies,33.39,Groceries
Roberts Group,23.98,Healthcare
embrace viral applications,48.69,Healthcare
Bryan-Huerta,83.82,Groceries
integrate rich relationships,93.82,Healthcare
Williams and Sons,60.00,Transport
generate out-of-the-box models,35.16,Entertainment
Boyd-Parker,82.83,Entertainment
redefine compelling solutions,56.74,Transport
Carpenter-Jones,55.24,Healthcare
synthesize scalable experiences,68.38,Utilities
"Wright, Howard and King",53.08,Groceries
incentivize strategic deliverables,94.11,Healthcare
Shields LLC,18.11,Healthcare
monetize innovative deliverables,29.50,Healthcare
Watkins-Cox,73.92,Groceries
morph leading-edge architectures,40.44,Groceries
Knapp LLC,29.45,Utilities
embrace holistic e-markets,56.91,Dining Out
"Peterson, Hampton and Reyes",36.47,Healthcare
exploit leading-edge niches,73.98,Groceries
"Weaver, Hodge and Thomas",71.73,Utilities
transition B2B systems,60.96,Utilities
Gutierrez Ltd,22.17,Utilities
expedite robust portals,38.01,Transport
"Griffin, Olsen and Reynolds",67.33,Entertainment
implement web-enabled models,59.41,Healthcare
Pena PLC,57.69,Utilities
enable customized solutions,69.35,Entertainment
Horton-Friedman,29.93,Dining Out
extend global e-commerce,47.70,Dining Out
Bell Group,33.04,Groceries
engineer scalable web services,81.71,Healthcare
"Fitzgerald, Gray and Smith",87.73,Dining Out
reinvent strategic solutions,74.58,Groceries
"David, Wright and Rice",11.63,Transport
embrace cross-platform users,74.53,Entertainment
Williams-Brooks,96.98,Dining Out
envisioneer intuitive solutions,95.68,Utilities
"Moses, Tapia and Brooks",59.17,Entertainment
leverage web-enabled partnerships,60.14,Transport
"Welch, Graham and Richardson",29.75,Entertainment
disintermediate B2B channels,47.21,Dining Out
White and Sons,24.22,Healthcare
deploy bricks-and-clicks bandwidth,46.46,Healthcare
Rogers-Farrell,90.71,Dining Out
syndicate magnetic ROI,50.05,Groceries
Armstrong Group,91.57,Utilities
leverage compelling e-services,60.24,Groceries
Martin LLC,18.78,Transport
embrace interactive deliverables,17.05,Transport
Daniels-Smith,79.57,Dining Out
matrix efficient convergence,30.82,Healthcare
"Dennis, Jones and Douglas",39.02,Transport
exploit user-centric initiatives,98.04,Transport
Smith Ltd,25.90,Utilities
target impactful functionalities,86.75,Groceries
"Mueller, Woods and Vasquez",57.64,Groceries
innovate impactful models,54.87,Dining Out
Edwards-Baker,69.57,Healthcare
enable bricks-and-clicks methodologies,19.61,Dining Out
Melendez-Johnson,40.43,Groceries
productize customized relationships,87.87,Transport
Mason Group,70.84,Groceries
re-contextualize world-class methodologies,49.08,Dining Out
Wall-Koch,47.73,Dining Out
productize value-added architectures,68.28,Entertainment
"Henson, Gray and Li",78.18,Dining Out
unleash interactive applications,38.86,Groceries
"Eaton, Lewis and Wagner",31.34,Utilities
strategize front-end paradigms,67.48,Transport
Harper-Lee,29.56,Utilities
re-intermediate impactful e-commerce,29.45,Utilities
Graves-Wilson,75.67,Groceries
revolutionize front-end e-commerce,39.31,Groceries
"Goodman, Mason and Gates",49.56,Utilities
leverage bleeding-edge action-items,34.65,Transport
"Barber, Robertson and Dunn",38.01,Groceries
unleash B2B supply-chains,62.34,Entertainment
Sanchez-Hernandez,45.08,Transport
monetize ubiquitous communities,54.07,Utilities
"Miller, Davis and George",48.51,Healthcare
enhance granular functionalities,77.17,Dining Out
Butler LLC,12.87,Healthcare
enable best-of-breed platforms,30.81,Entertainment
"Bradley, Jones and Davis",69.59,Utilities
redefine customized solutions,77.87,Entertainment
Hernandez-Black,57.43,Dining Out
unleash innovative convergence,24.77,Groceries
Jackson Group,14.70,Dining Out
streamline killer channels,15.01,Healthcare
Espinoza Ltd,40.20,Transport
synergize transparent functionalities,11.63,Utilities
"Scott, Wood and Owens",19.24,Groceries
harness interactive synergies,70.81,Utilities
"Hooper, Montoya and Watts",79.04,Transport
integrate global web services,48.56,Utilities
Ritter-Bowen,34.73,Utilities
envisioneer distributed paradigms,19.32,Dining Out
Miller PLC,49.59,Healthcare
productize ubiquitous e-business,83.50,Dining Out
"Hopkins, Brooks and Rosario",53.13,Utilities
integrate frictionless niches,24.63,Dining Out
Thomas Inc,43.65,Groceries
exploit sticky applications,32.80,Dining Out
"Warren, Mercado and Johnson",62.92,Groceries
visualize next-generation synergies,26.70,Groceries
Moyer Group,60.97,Dining Out
exploit bricks-and-clicks methodologies,96.97,Entertainment
Brown-Adams,14.61,Dining Out
generate magnetic convergence,95.76,Entertainment
Poole PLC,94.30,Transport
deliver bricks-and-clicks ROI,21.10,Healthcare
Turner-Hudson,96.31,Utilities
facilitate open-source metrics,88.51,Transport
Pitts-Robinson,39.82,Healthcare
enhance efficient content,89.87,Groceries
"Evans, Wade and Cooper",56.10,Healthcare
facilitate collaborative technologies,62.05,Dining Out
Shields-Martin,36.05,Dining Out
seize compelling e-markets,99.14,Utilities
Lee Group,69.87,Dining Out
architect real-time schemas,46.60,Entertainment
Taylor Inc,35.30,Utilities
deploy e-business deliverables,65.09,Healthcare
Jones PLC,69.46,Entertainment
harness next-generation channels,24.19,Groceries
"Wright, Mullins and Watson",89.28,Groceries
grow 24/7 infrastructures,25.18,Entertainment
Hernandez-Jones,69.43,Healthcare
re-contextualize next-generation relationships,38.49,Dining Out
Flores Group,34.21,Utilities
empower front-end schemas,31.01,Groceries
"Johnston, Bauer and Washington",23.43,Healthcare
deploy open-source systems,62.56,Dining Out
"Morrow, Dennis and Johnson",60.07,Healthcare
deliver viral e-tailers,90.43,Entertainment
Brown Ltd,86.91,Healthcare
enable value-added channels,22.36,Groceries
"Foster, Silva and Rice",58.30,Utilities
enhance open-source metrics,46.71,Dining Out
"Phillips, Schultz and Marsh",21.22,Transport
transform transparent web-readiness,26.80,Entertainment
"Copeland, Clayton and Kelly",41.44,Healthcare
transform transparent e-commerce,84.80,Healthcare
"Orozco, Melton and Gilbert",68.71,Healthcare
harness synergistic models,10.48,Utilities
Woods LLC,77.42,Entertainment
transform back-end platforms,94.31,Healthcare
"Nunez, Bartlett and Pace",52.06,Utilities
deliver enterprise ROI,40.86,Groceries
Beltran Ltd,13.88,Healthcare
deploy ubiquitous experiences,34.77,Transport
Ayala-Cox,49.72,Entertainment
disintermediate frictionless convergence,48.53,Groceries
Harmon-Martinez,24.36,Groceries
redefine next-generation partnerships,86.24,Dining Out
Mcguire-Thompson,36.69,Utilities
orchestrate rich convergence,65.67,Dining Out
"Khan, Bird and Cole",33.46,Entertainment
transform robust metrics,48.07,Dining Out
White Ltd,23.40,Entertainment
engage leading-edge solutions,29.02,Healthcare
Lee-Miller,78.24,Dining Out
matrix wireless relationships,80.42,Entertainment
Little-Mendoza,80.17,Utilities
re-intermediate holistic metrics,87.90,Healthcare
Ortiz-Wagner,15.00,Healthcare
synthesize B2C convergence,75.73,Transport
Barnes-Allen,92.58,Healthcare
engineer enterprise communities,38.16,Dining Out
Stone-Myers,20.65,Groceries
expedite next-generation e-markets,94.64,Healthcare
Taylor Ltd,63.81,Dining Out
drive interactive initiatives,99.65,Entertainment
Rodriguez-Hernandez,86.65,Transport
deliver viral mindshare,91.89,Entertainment
Price LLC,50.15,Groceries
integrate holistic convergence,75.51,Healthcare
Tucker-Brown,80.25,Entertainment
implement synergistic e-services,77.13,Entertainment
"Perkins, Peters and Lewis",39.98,Transport
reinvent transparent eyeballs,25.26,Groceries
"Lee, Miller and Hunt",59.12,Utilities
transform 24/365 portals,95.17,Healthcare
"Jacobs, Thompson and Snyder",87.53,Entertainment
revolutionize open-source schemas,11.58,Dining Out
Green Inc,84.84,Transport
syndicate visionary eyeballs,11.42,Transport
Murray-Gonzales,16.08,Healthcare
implement compelling initiatives,39.02,Entertainment
Washington Group,99.18,Groceries
e-enable intuitive niches,95.55,Groceries
Mueller Ltd,11.67,Transport
embrace dot-com convergence,30.91,Dining Out
Miranda-Moore,55.05,Healthcare
iterate seamless e-business,51.65,Entertainment
Murray Group,90.03,Dining Out
enhance holistic vortals,95.66,Transport
Hernandez Ltd,15.59,Entertainment
target global bandwidth,57.84,Transport
"Freeman, Knight and Nguyen",97.53,Transport
iterate ubiquitous synergies,39.84,Groceries
Gordon-Robbins,21.01,Entertainment
productize magnetic convergence,38.77,Utilities
Ayala-Macias,12.04,Dining Out
envisioneer plug-and-play e-commerce,33.77,Healthcare
"Hicks, Davis and Rivas",27.54,Utilities
mesh bleeding-edge initiatives,30.37,Entertainment
Hill Group,60.96,Dining Out
reinvent leading-edge portals,93.46,Transport
"Morales, Molina and Conrad",31.13,Entertainment
iterate cutting-edge markets,44.15,Entertainment
"Gonzalez, Williams and Jennings",22.97,Dining Out
benchmark robust convergence,76.68,Transport
Galloway-Moss,52.57,Transport
facilitate real-time schemas,39.34,Utilities
"Forbes, Summers and Brewer",91.95,Dining Out
integrate strategic schemas,63.54,Transport
Douglas-Davis,39.07,Dining Out
facilitate B2C technologies,20.16,Dining Out
Pena-Mcgee,96.83,Groceries
engage synergistic applications,93.24,Dining Out
Mitchell-Andrade,91.80,Transport
synergize one-to-one eyeballs,13.94,Groceries
"Parker, Hill and Gomez",83.91,Entertainment
orchestrate virtual applications,62.48,Groceries
"Greene, Campbell and Hunt",91.64,Transport
aggregate world-class e-tailers,12.59,Healthcare
Williams Inc,22.08,Dining Out
engage dot-com content,47.18,Groceries
Johnson-Smith,62.78,Utilities
exploit distributed infrastructures,42.04,Transport
"Cox, Burton and Arnold",64.44,Dining Out
maximize bricks-and-clicks architectures,22.44,Entertainment
"French, Mercado and Kelly",11.91,Healthcare
facilitate synergistic platforms,50.12,Entertainment
Terrell-Powers,28.03,Utilities
